ZONE,Name,Marine Ecoregion,Area (km2),Rarity
1,New Zealand Sub-Antarctic Islands,Snares Island,2139.273623,Middle 20-80%
1,New Zealand Sub-Antarctic Islands,Campbell Island,2788.722248,Rarest 20%
1,New Zealand Sub-Antarctic Islands,Auckland Island,4079.470505,Middle 20-80%
1,New Zealand Sub-Antarctic Islands,Bounty and Antipodes Islands,1967.385656,Rarest 20%
2,The Sundarbans,Northern Bay of Bengal,657.8235226,Common 20%
3,Belize Barrier Reef Reserve System,Western Caribbean,1069.354638,Middle 20-80%
4,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Fernando de Naronha and Atoll das Rocas,116.8019517,Rarest 5%
5,Area de Conservaci—n Guanacaste,Chiapas-Nicaragua,504.7097132,Middle 20-80%
6,Cocos Island National Park,Cocos Islands,263.0882796,Rarest 5%
7,"Ibiza, Biodiversity and Culture",Western Mediterranean,75.34802227,Middle 20-80%
8,High Coast / Kvarken Archipelago,Baltic Sea,2394.220669,Common 10%
9,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",Western Mediterranean,23.1972657,Middle 20-80%
10,Gough and Inaccessible Islands,Tristan Gough,678.049647,Rarest 10%
12,St Kilda,Celtic Seas,241.6314465,Common 10%
13,Surtsey,South and West Iceland,29.22863439,Middle 20-80%
14,Ogasawara Islands,Ogasawara Islands,21.06587611,Rarest 20%
15,Shiretoko,Sea of Okhotsk,109.9495944,Common 5%
15,Shiretoko,Oyashio Current,87.2335828,Middle 20-80%
16,Phoenix Islands Protected Area,Phoenix/Tokelau/Northern Cook Islands,1399.956082,Rarest 20%
17,Banc d'Arguin National Park,Sahelian Upwelling,5929.93696,Middle 20-80%
17,Banc d'Arguin National Park,Saharan Upwelling,304.9427457,Middle 20-80%
18,The Wadden Sea,North Sea,10606.8304,Common 5%
19,Coiba National Park and its Special Zone of Marine Protection,Nicoya,3092.314926,Middle 20-80%
20,Tubbataha Reefs Natural Park,Palawan/North Borneo,530.5674663,Common 20%
21,Rock Islands Southern Lagoon,West Caroline Islands,894.4187009,Rarest 20%
22,Danube Delta,Black Sea,33.35314597,Middle 20-80%
23,Sanganeb Marine National Park and Dungonab Bay - Mukkawar Island Marine National Park,Northern and Central Red Sea,1949.50859,Middle 20-80%
24,Aldabra Atoll,Seychelles,204.6125201,Middle 20-80%
25,Everglades National Park,Floridian,1916.677183,Middle 20-80%
26,Papah_naumoku_kea,Hawaii,20341.99764,Middle 20-80%
27,Ha Long Bay,Gulf of Tonkin,382.7724358,Common 20%
28,Socotra Archipelago,Gulf of Aden,1147.167538,Middle 20-80%
29,Natural System of Wrangel Island Reserve,Chukchi Sea,8984.854552,Common 5%
29,Natural System of Wrangel Island Reserve,East Siberian Sea,3012.708184,Common 5%
30,Malpelo Fauna and Flora Sanctuary,Panama Bight,128.0208548,Middle 20-80%
31,Gal‡pagos Islands,Northern Galapagos Islands,439.772332,Rarest 5%
31,Gal‡pagos Islands,Eastern Galapagos Islands,13134.63777,Rarest 20%
31,Gal‡pagos Islands,Western Galapagos Islands,2581.736209,Rarest 10%
32,Komodo National Park,Lesser Sunda,913.1221203,Middle 20-80%
33,Ujung Kulon National Park,Southern Java,486.7460902,Middle 20-80%
34,East Rennell,Solomon Archipelago,499.7546507,Middle 20-80%
35,iSimangaliso Wetland Park,Delagoa,754.5681683,Middle 20-80%
35,iSimangaliso Wetland Park,Natal,219.7475811,Middle 20-80%
36,Revillagigedo Archipelago,Revillagigedos,932.9620235,Rarest 10%
37,Desembarco del Granma National Park,Greater Antilles,61.98296628,Middle 20-80%
38,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,New Caledonia,14144.37057,Middle 20-80%
39,Great Barrier Reef,Torres Strait Northern Great Barrier Reef,56872.64417,Middle 20-80%
39,Great Barrier Reef,Central and Southern Great Barrier Reef,186970.0095,Common 20%
39,Great Barrier Reef,Coral Sea,1970.394947,Middle 20-80%
39,Great Barrier Reef,Tweed-Moreton,4697.956523,Middle 20-80%
40,Lord Howe Island Group,Lord Howe and Norfolk Islands,1055.675164,Rarest 20%
41,Macquarie Island,Macquarie Island,2953.86538,Rarest 20%
42,Ningaloo Coast,Exmouth to Broome,604.2773729,Common 20%
42,Ningaloo Coast,Ningaloo,4280.61606,Rarest 20%
42,Ningaloo Coast,Shark Bay,165.5106709,Middle 20-80%
43,Shark Bay,Shark Bay,14850.53515,Middle 20-80%
44,Heard and McDonald Islands,Heard and Macdonald Islands,3849.639818,Rarest 20%
