ZONE,Name,Species ID,Species (Binomial),IUCN Category,Type
1,New Zealand Sub-Antarctic Islands,2475,Balaenoptera borealis,EN,Marine Mammals
1,New Zealand Sub-Antarctic Islands,2477,Balaenoptera musculus,EN,Marine Mammals
1,New Zealand Sub-Antarctic Islands,2478,Balaenoptera physalus,VU,Marine Mammals
1,New Zealand Sub-Antarctic Islands,2480,Balaenoptera bonaerensis,NT,Marine Mammals
1,New Zealand Sub-Antarctic Islands,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,11200,Lamna nasus,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,17026,Phocarctos hookeri,EN,Marine Mammals
1,New Zealand Sub-Antarctic Islands,18596,Pseudorca crassidens,NT,Marine Mammals
1,New Zealand Sub-Antarctic Islands,21858,Thunnus maccoyii,CR,Marine Fish
1,New Zealand Sub-Antarctic Islands,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39341,Isurus oxyrinchus,EN,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39352,Galeorhinus galeus,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39381,Prionace glauca,NT,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,39388,Sphyrna zygaena,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,41755,Physeter macrocephalus,VU,Marine Mammals
1,New Zealand Sub-Antarctic Islands,41840,Oxynotus bruniensis,NT,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,41876,Odontaspis ferox,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,46865,Scymnodon plunketi,VU,"Sharks, Rays, Chimaeras"
1,New Zealand Sub-Antarctic Islands,170309,Kajikia audax,NT,Marine Fish
1,New Zealand Sub-Antarctic Islands,170341,Thunnus orientalis,VU,Marine Fish
1,New Zealand Sub-Antarctic Islands,91209505,Squalus acanthias,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,2477,Balaenoptera musculus,EN,Marine Mammals
2,The Sundarbans,3851,Carcharhinus limbatus,NT,"Sharks, Rays, Chimaeras"
2,The Sundarbans,3854,Carcharias taurus,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras"
2,The Sundarbans,3897,Caretta caretta,VU,Reptiles
2,The Sundarbans,5667,Crocodylus palustris,VU,Reptiles
2,The Sundarbans,6494,Dermochelys coriacea,VU,Reptiles
2,The Sundarbans,8005,Eretmochelys imbricata,CR,Reptiles
2,The Sundarbans,9029,Geoclemys hamiltonii,EN,Reptiles
2,The Sundarbans,9281,Glyphis gangeticus,CR,"Sharks, Rays, Chimaeras"
2,The Sundarbans,10949,Batagur kachuga,CR,Reptiles
2,The Sundarbans,10953,Batagur dhongoka,CR,Reptiles
2,The Sundarbans,11534,Lepidochelys olivacea,VU,Reptiles
2,The Sundarbans,12427,Lutrogale perspicillata,VU,Terrestrial Mammals
2,The Sundarbans,15419,Orcaella brevirostris,EN,Marine Mammals
2,The Sundarbans,18150,Prionailurus viverrinus,VU,Terrestrial Mammals
2,The Sundarbans,18596,Pseudorca crassidens,NT,Marine Mammals
2,The Sundarbans,19488,Rhincodon typus,EN,"Sharks, Rays, Chimaeras"
2,The Sundarbans,39339,Alopias vulpinus,VU,"Sharks, Rays, Chimaeras"
