TENT_ID,Parent Country,Property,Name,WDPA_PID
2,Argentina,Natural and Cultural,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",555558360
5,Australia,Natural,Great Sandy World Heritage Area,309914
5,Australia,Natural,Great Sandy World Heritage Area,555543708
5,Australia,Natural,Great Sandy World Heritage Area,555548205
5,Australia,Natural,Great Sandy World Heritage Area,555625038
5,Australia,Natural,Great Sandy World Heritage Area,555625288
27,Brazil,Natural,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),46
50,Canada,Natural and Cultural,Gwaii Haanas,16379
50,Canada,Natural and Cultural,Gwaii Haanas,555512150
51,Canada,Natural,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,555637782_A
51,Canada,Natural,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,555637782_B
55,Canada,Natural and Cultural,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,300103
55,Canada,Natural and Cultural,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,555637925
56,Chile,Natural,Juan Fernández Archipelago National Park,97
56,Chile,Natural,Juan Fernández Archipelago National Park,121
63,Colombia,Natural,Seaflower Marine Protected Area (MPA),220262
63,Colombia,Natural,Seaflower Marine Protected Area (MPA),555624229
65,Colombia,Natural and Cultural,Tayrona and Sierra Nevada de Santa Marta National Parks and thei r Archaeological Sites,132
65,Colombia,Natural and Cultural,Tayrona and Sierra Nevada de Santa Marta National Parks and thei r Archaeological Sites,152
65,Colombia,Natural and Cultural,Tayrona and Sierra Nevada de Santa Marta National Parks and thei r Archaeological Sites,3017
66,Congo,Natural,Le Parc National de Conkouati-Douli,109018
66,Congo,Natural,Le Parc National de Conkouati-Douli,313401
68,Costa Rica,Natural,Corcovado National Park and Isla del Caño Biological Reserve,164
68,Costa Rica,Natural,Corcovado National Park and Isla del Caño Biological Reserve,11849
70,Croatia,Natural,Kornati National Park and Tela__ica Nature Park,2523
70,Croatia,Natural,Kornati National Park and Tela__ica Nature Park,63664
73,Cuba,Natural,Ciénaga de Zapata National Park,32359
73,Cuba,Natural,Ciénaga de Zapata National Park,198339
73,Cuba,Natural,Ciénaga de Zapata National Park,900569
74,Cuba,Natural,Reef System in the Cuban Caribbean,13632
74,Cuba,Natural,Reef System in the Cuban Caribbean,36097
74,Cuba,Natural,Reef System in the Cuban Caribbean,168261
74,Cuba,Natural,Reef System in the Cuban Caribbean,302609
74,Cuba,Natural,Reef System in the Cuban Caribbean,302622
74,Cuba,Natural,Reef System in the Cuban Caribbean,555624218
85,Djibouti,Natural,Les îles Moucha et Maskali ,555577535
