TENT_ID,Name,Pelagic Province,Area (km2),Rarity,Not Found in Existing mnWHA Sites
27,Réserve biologique d'Atol das Rocas (Rio Grande do Norte),Equatorial Atlantic,216.0397299,Middle 20-80%,FALSE
50,Gwaii Haanas,Subarctic Pacific,378.7480814,Middle 20-80%,TRUE
51,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area,Subarctic Pacific,710.693765,Middle 20-80%,TRUE
55,Sirmilik National Park and Tallurutiup Imanga (proposed) National Marine Conservation Area,Arctic,58651.49246,Middle 20-80%,TRUE
63,Seaflower Marine Protected Area (MPA),Inter American Seas,54949.68639,Middle 20-80%,TRUE
73,Ciénaga de Zapata National Park,Inter American Seas,163.8889419,Middle 20-80%,TRUE
74,Reef System in the Cuban Caribbean,Inter American Seas,0.17003841,Middle 20-80%,TRUE
88,Parque Nacional Jaragua,Inter American Seas,11.74341615,Middle 20-80%,TRUE
89,Santuario de Mamíferos Marinos Bancos de La Plata y Navidad,Inter American Seas,6637.727795,Middle 20-80%,TRUE
89,Santuario de Mamíferos Marinos Bancos de La Plata y Navidad,North Central Atlantic Gyre,19104.47705,Middle 20-80%,TRUE
94,Ras Mohammed,Red Sea,0.022371427,Rarest 5%,FALSE
103,La Réserve naturelle nationale des Terres Australes Françaises,Antarctic Polar Front,3254.188172,Middle 20-80%,FALSE
103,La Réserve naturelle nationale des Terres Australes Françaises,Indian Ocean Gyre,3290.220511,Common 20%,TRUE
141,Bunaken National Park,Indonesian Through-Flow,59.69656761,Middle 20-80%,FALSE
144,Taka Bonerate National Park,Indonesian Through-Flow,2172.117273,Middle 20-80%,FALSE
145,Wakatobi National Park,Indonesian Through-Flow,8309.038521,Middle 20-80%,FALSE
161,Pelagos: The Cetacean Sanctuary,Mediterranean,58407.95051,Middle 20-80%,TRUE
184,Réserve de la Biosphère Banco Chinchorro CN,Inter American Seas,160.1068122,Middle 20-80%,TRUE
201,Kermadec Islands and Marine reserve,South Central Pacific Gyre,5895.237564,Common 5%,FALSE
211,Islands of Jan Mayen and Bouvet as parts of a serial transnational nomination of the Mid Atlantic Ridge system,Arctic,2349.932956,Middle 20-80%,TRUE
212,Svalbard Archipelago,Arctic,989.8001075,Middle 20-80%,TRUE
235,Selvagens Islands,Canary Current,1001.868695,Middle 20-80%,TRUE
243,The Commander Islands (Comandorsky State Nature Reserve),Subarctic Pacific,822.975045,Middle 20-80%,TRUE
290,Marianas Trench Marine National Monument,North Central Pacific Gyre,252679.795,Common 10%,FALSE
292,Pacific Remote Islands Marine National Monument,Equatorial Pacific,240724.7229,Middle 20-80%,FALSE
292,Pacific Remote Islands Marine National Monument,North Central Pacific Gyre,882778.7341,Common 10%,FALSE
292,Pacific Remote Islands Marine National Monument,South Central Pacific Gyre,151441.1222,Common 5%,FALSE
