TENT_ID,Name,Species ID,Species (Binomial),IUCN Category,Type,Not Found in Existing mnWHA Sites
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",17029,Phocoena spinipinnis,NT,Marine Mammals,TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",41064,Pseudobatos horkelii,CR,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",44581,Mustelus fasciatus,CR,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",44993,Discopyge tschudii,NT,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",56340,Ceratophrys ornata,NT,Amphibians,TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",60203,Mustelus schmitti,EN,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",63109,Rioraja agassizii,VU,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",63110,Atlantoraja platana,VU,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",63117,Bathyraja macloviana,NT,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",63144,Bathyraja multispinis,NT,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",130393378,Squatina guggenheim,EN,"Sharks, Rays, Chimaeras",TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",134822416,Tursiops truncatus ssp. gephyreus,VU,Marine Mammals,TRUE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",2475,Balaenoptera borealis,EN,Marine Mammals,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",2477,Balaenoptera musculus,EN,Marine Mammals,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",2478,Balaenoptera physalus,VU,Marine Mammals,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",2480,Balaenoptera bonaerensis,NT,Marine Mammals,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",3854,Carcharias taurus,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",3855,Carcharodon carcharias,VU,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",3897,Caretta caretta,VU,Reptiles,FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",4292,Cetorhinus maximus,EN,"Sharks, Rays, Chimaeras",FALSE
2,"Geological, Paleontological and Archaeological Provincial Reserve Pehuén co Monte Hermoso",6494,Dermochelys coriacea,VU,Reptiles,FALSE
